county,state,pct_lead,winner,latitude,longitude
marengo,alabama,0.0349,Clinton,32.4908,-87.8397
maricopa,arizona,0.0345,Trump,33.9686,-112.7296
maries,missouri,0.6147,Trump,38.2711,-91.7303
marin,california,0.6276,Clinton,38.2508,-122.9653
marinette,wisconsin,0.3379,Trump,45.7653,-88.0309
marion,west virginia,0.2737,Clinton,39.6103,-80.2529
mariposa,california,0.2381,Trump,37.7314,-119.6489
marlboro,south carolina,0.1614,Clinton,34.7307,-79.8011
marquette,wisconsin,0.1155,Clinton,43.8989,-89.2336
marshall,west virginia,0.2951,Clinton,40.0181,-80.7342
martin,texas,0.3956,Trump,32.3575,-101.9607
martinsville (city),virginia,0.2353,Clinton,36.6871,-79.8691
mason,west virginia,0.379,Trump,39.0064,-82.0282
massac,illinois,0.4959,Trump,37.2092,-88.8442
matagorda,texas,0.4067,Trump,29.1825,-95.9086
mathews,virginia,0.3688,Trump,37.5043,-76.2886
maui,hawaii,0.3857,Clinton,21.1929,-156.9835
maury,tennessee,0.3922,Trump,35.7588,-87.1515
maverick,texas,0.558,Clinton,28.9256,-100.5912
mayes,oklahoma,0.5172,Trump,36.5245,-95.0239
mcclain,oklahoma,0.6092,Trump,35.2453,-97.6216
mccook,south dakota,0.4527,Trump,43.7557,-97.5936
mccormick,south carolina,0.0329,Trump,34.0065,-82.5324
mccracken,kentucky,0.3719,Trump,37.0922,-88.7611
mccreary,kentucky,0.7527,Trump,36.8347,-84.4436
mcculloch,texas,0.6695,Trump,31.3957,-99.599
mccurtain,oklahoma,0.639,Trump,34.4954,-94.6981
mcdonald,missouri,0.6401,Trump,36.7323,-94.3986
mcdonough,illinois,0.1171,Trump,40.618,-90.4727
mcdowell,west virginia,0.5092,Trump,37.5301,-81.8882
mcduffie,georgia,0.187,Trump,33.528,-82.5104
mchenry,north dakota,0.3141,Trump,48.5816,-100.7323
mcintosh,oklahoma,0.3013,Trump,35.5297,-95.7596
mckean,pennsylvania,0.4724,Trump,41.9726,-78.5626
mckenzie,north dakota,0.6454,Trump,47.9405,-102.8906
mckinley,new mexico,0.3945,Clinton,36.0021,-108.6229
mclean,north dakota,0.2858,Trump,47.8156,-101.2932
mclennan,texas,0.2709,Trump,31.7754,-97.1258
mcleod,minnesota,0.3842,Trump,44.9585,-94.0552
mcminn,tennessee,0.5973,Trump,35.5819,-84.5721
mcnairy,tennessee,0.5971,Trump,35.3729,-88.3675
mcpherson,south dakota,0.4198,Trump,45.8823,-99.1698
meade,south dakota,0.479,Trump,45.031,-102.8031
mecklenburg,virginia,0.087,Clinton,36.8053,-78.4553
mecosta,michigan,0.2611,Trump,43.7677,-85.5213
medina,texas,0.3479,Trump,29.5441,-98.9231
meeker,minnesota,0.4026,Trump,45.3087,-94.4297
meigs,tennessee,0.5449,Trump,35.6862,-84.6548
menard,texas,0.3771,Trump,30.9119,-99.7847
mendocino,california,0.2915,Clinton,39.9465,-123.7552
menifee,kentucky,0.4712,Trump,37.9807,-83.7447
menominee,wisconsin,0.294,Trump,44.9808,-88.8309
merced,california,0.0793,Clinton,37.5354,-120.378
mercer,west virginia,0.1509,Clinton,37.55,-81.128
meriwether,georgia,0.1542,Trump,33.2101,-84.7444
merrick,nebraska,0.624,Trump,41.319,-97.6671
merrimack,new hampshire,0.0296,Clinton,43.5274,-71.7292
mesa,colorado,0.3629,Trump,39.3118,-108.2304
metcalfe,kentucky,0.5445,Trump,37.1177,-85.7038
miami,ohio,0.4738,Trump,40.1486,-84.2531
miami-dade,florida,0.2957,Clinton,25.9597,-80.1403
middlesex,virginia,0.0513,Clinton,37.73,-76.689
midland,texas,0.3874,Trump,32.0295,-102.0915
mifflin,pennsylvania,0.5749,Trump,40.7203,-77.5567
milam,texas,0.4994,Trump,30.9736,-96.9642
millard,utah,0.6556,Trump,39.5302,-112.2952
mille lacs,minnesota,0.3576,Trump,46.1696,-93.4741
miller,missouri,0.5479,Trump,38.4109,-92.5294
mills,texas,0.5975,Trump,31.641,-98.5276
milwaukee,wisconsin,0.3745,Clinton,43.1624,-87.9898
mineral,west virginia,0.466,Trump,39.6133,-78.775
mingo,west virginia,0.6876,Trump,37.9198,-82.2547
minidoka,idaho,0.5415,Trump,42.773,-113.5098
minnehaha,south dakota,0.1461,Trump,43.8228,-96.7223
missaukee,michigan,0.5233,Trump,44.3767,-85.0946
mississippi,missouri,0.2671,Trump,36.9213,-89.3342
missoula,montana,0.1574,Clinton,47.5097,-113.7075
mitchell,texas,0.3684,Trump,32.4112,-100.7123
mobile,alabama,0.1387,Trump,31.3247,-86.5067
modoc,california,0.4808,Trump,41.8644,-120.162
moffat,colorado,0.6788,Trump,40.9979,-107.3388
mohave,arizona,0.5145,Trump,36.9903,-112.9758
moniteau,missouri,0.6033,Trump,38.7793,-92.4807
